,Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
0,Wii Sports,Wii,2006.0,Sports,82.53,76.0,51.0,8.0,322.0,E
1,Super Mario Bros.,NES,1985.0,Platform,40.24,,,,,
2,Mario Kart Wii,Wii,2008.0,Racing,35.52,82.0,73.0,8.3,709.0,E
3,Wii Sports Resort,Wii,2009.0,Sports,32.77,80.0,73.0,8.0,192.0,E
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,31.37,,,,,
5,Tetris,GB,1989.0,Puzzle,30.26,,,,,
6,New Super Mario Bros.,DS,2006.0,Platform,29.8,89.0,65.0,8.5,431.0,E
7,Wii Play,Wii,2006.0,Misc,28.92,58.0,41.0,6.6,129.0,E
8,New Super Mario Bros. Wii,Wii,2009.0,Platform,28.32,87.0,80.0,8.4,594.0,E
9,Duck Hunt,NES,1984.0,Shooter,28.31,,,,,
10,Nintendogs,DS,2005.0,Simulation,24.67,,,,,
11,Mario Kart DS,DS,2005.0,Racing,23.21,91.0,64.0,8.6,464.0,E
12,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,23.1,,,,,
13,Wii Fit,Wii,2007.0,Sports,22.7,80.0,63.0,7.7,146.0,E
14,Kinect Adventures!,X360,2010.0,Misc,21.81,61.0,45.0,6.3,106.0,E
15,Wii Fit Plus,Wii,2009.0,Sports,21.79,80.0,33.0,7.4,52.0,E
16,Grand Theft Auto V,PS3,2013.0,Action,21.04,97.0,50.0,8.2,3994.0,M
17,Grand Theft Auto: San Andreas,PS2,2004.0,Action,20.81,95.0,80.0,9.0,1588.0,M
18,Super Mario World,SNES,1990.0,Platform,20.61,,,,,
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,20.15,77.0,58.0,7.9,50.0,E
20,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,18.25,,,,,
21,Super Mario Land,GB,1989.0,Platform,18.14,,,,,
22,Super Mario Bros. 3,NES,1988.0,Platform,17.28,,,,,
23,Grand Theft Auto V,X360,2013.0,Action,16.27,97.0,58.0,8.1,3711.0,M
24,Grand Theft Auto: Vice City,PS2,2002.0,Action,16.15,95.0,62.0,8.7,730.0,M
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,15.85,,,,,
26,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,15.29,77.0,37.0,7.1,19.0,E
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,15.14,,,,,
28,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,14.98,95.0,54.0,8.4,314.0,E
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,14.73,88.0,81.0,3.4,8713.0,M
30,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,14.64,,,,,
31,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,14.63,,,,,
32,Call of Duty: Black Ops,X360,2010.0,Shooter,14.61,87.0,89.0,6.3,1454.0,M
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,14.6,,,,,
34,Call of Duty: Black Ops II,PS3,2012.0,Shooter,13.79,83.0,21.0,5.3,922.0,M
35,Call of Duty: Black Ops II,X360,2012.0,Shooter,13.67,83.0,73.0,4.8,2256.0,M
36,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,13.47,94.0,100.0,6.3,2698.0,M
37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,13.32,88.0,39.0,3.2,5234.0,M
38,Grand Theft Auto III,PS2,2001.0,Action,13.1,97.0,56.0,8.5,664.0,M
39,Super Smash Bros. Brawl,Wii,2008.0,Fighting,12.84,93.0,81.0,8.9,1662.0,T
40,Mario Kart 7,3DS,2011.0,Racing,12.66,85.0,73.0,8.2,632.0,E
41,Call of Duty: Black Ops,PS3,2010.0,Shooter,12.63,88.0,58.0,6.4,1094.0,M
42,Grand Theft Auto V,PS4,2014.0,Action,12.61,97.0,66.0,8.3,2899.0,M
43,Animal Crossing: Wild World,DS,2005.0,Simulation,12.13,86.0,57.0,8.7,242.0,E
44,Halo 3,X360,2007.0,Shooter,12.12,94.0,86.0,7.8,4100.0,M
45,Super Mario 64,N64,1996.0,Platform,11.89,,,,,
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,11.77,,,,,
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,11.68,,,,,
48,Gran Turismo 4,PS2,2004.0,Racing,11.66,89.0,74.0,8.5,272.0,E
49,Super Mario Galaxy,Wii,2007.0,Platform,11.35,97.0,73.0,8.9,2147.0,E
50,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,11.18,,,,,
51,Grand Theft Auto IV,X360,2008.0,Action,11.01,98.0,86.0,7.9,2951.0,M
52,Gran Turismo,PS,1997.0,Racing,10.95,96.0,16.0,8.7,138.0,E
53,Super Mario 3D Land,3DS,2011.0,Platform,10.81,90.0,82.0,8.4,921.0,E
54,Gran Turismo 5,PS3,2010.0,Racing,10.7,84.0,82.0,7.5,1112.0,E
55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,10.6,94.0,67.0,6.3,2073.0,M
56,Super Mario All-Stars,SNES,1993.0,Platform,10.55,,,,,
57,Grand Theft Auto IV,PS3,2008.0,Action,10.5,98.0,64.0,7.5,2833.0,M
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,10.49,,,,,
59,Super Mario 64,DS,2004.0,Platform,10.3,,,,,
60,Call of Duty: Ghosts,X360,2013.0,Shooter,10.25,73.0,29.0,2.6,2117.0,M
61,Just Dance 3,Wii,2011.0,Misc,10.12,74.0,15.0,7.8,16.0,E10+
62,New Super Mario Bros. 2,3DS,2012.0,Platform,9.9,78.0,70.0,7.2,424.0,E
63,Mario Kart 64,N64,1996.0,Racing,9.87,,,,,
64,Halo: Reach,X360,2010.0,Shooter,9.86,91.0,99.0,7.9,2045.0,M
65,Final Fantasy VII,PS,1997.0,Role-Playing,9.72,92.0,20.0,9.2,1282.0,T
66,Halo 4,X360,2012.0,Shooter,9.71,87.0,87.0,7.0,3260.0,M
67,Gran Turismo 2,PS,1999.0,Racing,9.49,93.0,23.0,9.0,135.0,T
68,Just Dance 2,Wii,2010.0,Misc,9.44,74.0,24.0,7.3,24.0,E10+
69,Call of Duty: Ghosts,PS3,2013.0,Shooter,9.36,71.0,10.0,2.6,1047.0,M
70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,9.31,94.0,70.0,8.4,1320.0,M
71,Donkey Kong Country,SNES,1994.0,Platform,9.3,,,,,
72,Minecraft,X360,2013.0,Misc,9.18,,,,,
73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,9.16,88.0,70.0,8.7,626.0,E
74,Mario Party DS,DS,2007.0,Misc,8.91,72.0,27.0,7.8,85.0,E
75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,8.79,96.0,89.0,8.4,3589.0,M
76,Super Mario Kart,SNES,1992.0,Racing,8.76,,,,,
77,FIFA 16,PS4,2015.0,Sports,8.57,82.0,42.0,4.3,896.0,E
78,Halo 2,XB,2004.0,Shooter,8.49,95.0,91.0,8.2,1218.0,M
79,Wii Party,Wii,2010.0,Misc,8.38,68.0,42.0,7.4,54.0,E
80,Mario Party 8,Wii,2007.0,Misc,8.27,62.0,41.0,6.3,190.0,E
81,FIFA Soccer 13,PS3,2012.0,Action,8.16,88.0,37.0,6.6,348.0,E
82,GoldenEye 007,N64,1997.0,Shooter,8.09,,,,,
83,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,8.07,,,,,
84,Final Fantasy X,PS2,2001.0,Role-Playing,8.05,92.0,53.0,8.7,1056.0,T
85,The Sims 3,PC,2009.0,Simulation,8.01,86.0,75.0,7.6,886.0,T
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,7.99,,,,,
87,Star Wars Battlefront (2015),PS4,2015.0,Shooter,7.98,,,,,
88,Final Fantasy VIII,PS,1999.0,Role-Playing,7.86,90.0,24.0,8.6,644.0,T
89,Pac-Man,2600,1982.0,Puzzle,7.81,,,,,
90,Pokémon Platinum Version,DS,2008.0,Role-Playing,7.72,83.0,46.0,8.5,203.0,E
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,7.69,88.0,65.0,7.6,451.0,M
92,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,7.66,83.0,39.0,5.7,1443.0,M
93,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,7.6,,,,,
94,FIFA 17,PS4,2016.0,Sports,7.59,85.0,41.0,5.0,398.0,E
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,7.58,,,,,
96,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,7.55,,,,,
97,Super Mario Galaxy 2,Wii,2010.0,Platform,7.51,97.0,87.0,9.1,1854.0,E
98,Super Mario Bros. 2,NES,1988.0,Platform,7.46,,,,,
99,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,7.39,,,,,
100,Call of Duty: World at War,X360,2008.0,Shooter,7.38,84.0,84.0,7.6,580.0,M
101,Battlefield 3,X360,2011.0,Shooter,7.32,84.0,57.0,7.4,2142.0,M
102,Need for Speed Underground,PS2,2003.0,Racing,7.2,85.0,33.0,8.6,171.0,E
103,Just Dance,Wii,2009.0,Misc,7.2,49.0,21.0,8.0,110.0,E10+
104,Battlefield 3,PS3,2011.0,Shooter,7.17,85.0,38.0,7.5,1761.0,M
105,Fallout 4,PS4,2015.0,Role-Playing,7.16,87.0,58.0,6.5,4228.0,M
106,Tekken 3,PS,1998.0,Fighting,7.16,96.0,15.0,9.1,367.0,T
107,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,7.15,95.0,73.0,9.0,1658.0,T
108,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,7.14,,,,,
109,Crash Bandicoot 3: Warped,PS,1998.0,Platform,7.13,91.0,12.0,8.9,432.0,E
110,Mario Kart 8,WiiU,2014.0,Racing,7.09,88.0,82.0,9.1,1599.0,E
111,Super Smash Bros. Melee,GC,2001.0,Fighting,7.07,92.0,38.0,9.1,568.0,T
112,Mario Kart: Double Dash!!,GC,2003.0,Racing,6.95,,,,,
113,Need for Speed Underground 2,PS2,2004.0,Racing,6.9,82.0,39.0,8.6,132.0,E
114,Medal of Honor: Frontline,PS2,2002.0,Shooter,6.83,88.0,29.0,8.5,135.0,T
115,Crash Bandicoot,PS,1996.0,Platform,6.82,,,,,
116,Just Dance 4,Wii,2012.0,Misc,6.76,74.0,10.0,7.3,28.0,E10+
117,Gears of War 2,X360,2008.0,Shooter,6.75,93.0,90.0,7.7,2739.0,M
118,Uncharted 3: Drake's Deception,PS3,2011.0,Action,6.74,92.0,97.0,8.3,3712.0,T
119,Zumba Fitness,Wii,2010.0,Sports,6.71,,,7.13,,E
120,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,6.68,94.0,44.0,8.4,993.0,M
121,Uncharted 2: Among Thieves,PS3,2009.0,Action,6.66,96.0,105.0,8.8,5187.0,T
122,FIFA 12,PS3,2011.0,Sports,6.65,,,,,
123,Big Brain Academy,DS,2005.0,Misc,6.62,74.0,45.0,7.4,27.0,E
124,The Legend of Zelda,NES,1986.0,Action,6.51,,,,,
125,Red Dead Redemption,PS3,2010.0,Action,6.49,95.0,73.0,8.8,2456.0,M
126,FIFA 14,PS3,2013.0,Sports,6.47,86.0,37.0,4.3,576.0,E
127,Assassin's Creed III,PS3,2012.0,Action,6.45,85.0,41.0,6.9,1307.0,M
128,Donkey Kong Country Returns,Wii,2010.0,Platform,6.44,87.0,77.0,8.6,368.0,E
129,Halo: Combat Evolved,XB,2001.0,Shooter,6.43,97.0,68.0,8.6,1283.0,M
130,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,6.41,92.0,16.0,6.4,2527.0,M
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,6.41,76.0,28.0,9.0,222.0,E
132,Kingdom Hearts,PS2,2002.0,Role-Playing,6.4,85.0,46.0,8.8,597.0,E
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,6.39,,,,,
134,Halo 3: ODST,X360,2009.0,Shooter,6.34,83.0,94.0,7.1,1163.0,M
135,Red Dead Redemption,X360,2010.0,Action,6.32,95.0,96.0,9.0,2316.0,M
136,Super Mario Sunshine,GC,2002.0,Platform,6.31,92.0,61.0,8.6,439.0,E
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,6.3,,,,,
138,World of Warcraft,PC,2004.0,Role-Playing,6.29,93.0,57.0,7.3,2182.0,T
139,Driver,PS,1999.0,Action,6.27,87.0,22.0,8.1,78.0,T
140,Gears of War 3,X360,2011.0,Shooter,6.21,91.0,96.0,7.8,1504.0,M
141,Kinect Sports,X360,2010.0,Sports,6.19,73.0,51.0,7.4,95.0,E10+
142,Gears of War,X360,2006.0,Shooter,6.09,94.0,88.0,8.3,2295.0,M
143,FIFA 15,PS4,2014.0,Sports,6.08,82.0,47.0,5.7,988.0,E
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,6.05,96.0,42.0,8.7,1026.0,M
145,Sonic the Hedgehog 2,GEN,1992.0,Platform,6.03,,,,,
146,Metal Gear Solid,PS,1998.0,Action,6.03,94.0,20.0,9.4,918.0,M
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,5.99,94.0,82.0,8.7,3558.0,M
148,Final Fantasy XII,PS2,2006.0,Role-Playing,5.95,92.0,64.0,7.6,972.0,T
149,The Last of Us,PS3,2013.0,Action,5.87,95.0,98.0,9.1,8003.0,M
